iter	Logloss
284	0.3448717776
285	0.3447903833
286	0.3445473718
287	0.3444289293
288	0.3443951262
289	0.3442996842
290	0.3441549796
291	0.3439466724
292	0.3438578505
293	0.3436968909
294	0.3432950494
295	0.3431443117
296	0.3429254106
297	0.3427318991
298	0.3425913545
299	0.3424705294
300	0.3424228192
301	0.3423799097
302	0.3421001732
303	0.3420157839
304	0.342015213
305	0.3418198575
306	0.3416681666
307	0.341464683
308	0.3413240744
309	0.341172569
310	0.3410438964
311	0.3410179405
312	0.3407910002
313	0.3406503017
314	0.340524573
315	0.340368411
316	0.3402640994
317	0.3399173966
318	0.3398432614
319	0.3397470094
320	0.3395400033
321	0.3393956642
322	0.3392452289
323	0.3391852263
324	0.3390418361
325	0.3389291198
326	0.3389244174
327	0.3387959242
328	0.338452839
329	0.3382980488
330	0.3379566174
331	0.3378135431
332	0.3377052216
333	0.337442766
334	0.3374121167
335	0.3372856017
336	0.3372121988
337	0.336855663
338	0.3368205629
339	0.3367481653
340	0.3366010197
341	0.3363769712
342	0.3361454478
343	0.3360449578
344	0.3359392352
345	0.3357746355
346	0.3357340519
347	0.3355443316
348	0.335416191
349	0.3351729604
