iter	Logloss
0	0.681114147
1	0.6693438458
2	0.6587094094
3	0.650727411
4	0.6413563549
5	0.6315525799
6	0.6217575315
7	0.6125057922
8	0.6038822414
9	0.5958502253
10	0.588202201
11	0.5825922172
12	0.5748842577
13	0.568213879
14	0.560842485
15	0.5562919637
16	0.5497737993
17	0.5454817328
18	0.5399227259
19	0.5347702843
20	0.5287461181
21	0.5229372996
22	0.5182809612
23	0.513582391
24	0.5106835645
25	0.5060922118
26	0.5024524942
27	0.4975079645
28	0.4934315019
29	0.489478549
30	0.4866145358
31	0.4850579718
32	0.4821279292
33	0.4785735687
34	0.4754039632
35	0.4725043543
36	0.469762267
37	0.4663928215
38	0.4643515899
39	0.4630956513
40	0.4605513221
41	0.4582935947
42	0.4558039881
43	0.453817101
44	0.4512817519
45	0.449132503
46	0.4474277945
47	0.4452154055
48	0.4442536186
49	0.4422568306
50	0.4409025831
51	0.4392063294
52	0.4369152021
53	0.4353188132
54	0.4336374412
55	0.4320569581
56	0.4307611217
57	0.4301602078
58	0.4286319766
59	0.4270430501
60	0.4259146734
61	0.4246666774
62	0.4237553571
63	0.4223483253
64	0.421058388
65	0.4197048229
66	0.4186720948
67	0.4177468863
68	0.4167088664
69	0.4152229865
70	0.4140758453
71	0.4128351584
72	0.4117859981
73	0.4109117433
74	0.4102686086
75	0.4090655833
76	0.4081744389
77	0.4075549708
78	0.4063107457
79	0.4060201477
80	0.4055841973
81	0.4047457091
82	0.4045573171
83	0.4037430615
84	0.4030104429
85	0.4019713828
86	0.4008985686
87	0.4001053556
88	0.3993181646
89	0.3987805978
90	0.3981739965
91	0.3976533048
92	0.3968870906
93	0.3967948729
94	0.3962333748
95	0.3952623574
96	0.3946215354
97	0.3938278946
98	0.393562173
99	0.3934076283
100	0.3930067719
101	0.3925575665
102	0.3921411957
103	0.3916059653
104	0.390890396
105	0.3905561823
106	0.3899554709
107	0.3897922803
108	0.3894409804
109	0.3891754274
110	0.3885188991
111	0.387916992
112	0.3872548378
113	0.3866657105
114	0.3866152402
115	0.3859563769
116	0.3854707853
117	0.3849317871
118	0.3844286686
119	0.383909273
120	0.3835439885
121	0.3828817007
122	0.3823938074
123	0.3818173791
124	0.3813536948
125	0.3809326458
126	0.3808319997
127	0.3804753219
128	0.3802266669
129	0.3797929745
130	0.3792004781
131	0.3791237917
132	0.3784429956
133	0.3780144768
134	0.3778932011
135	0.3773408223
136	0.3768382642
137	0.3766721247
138	0.3765531378
139	0.3763583088
140	0.3759977302
141	0.3752711676
142	0.3749987029
143	0.3746408561
144	0.3742146839
145	0.37374457
146	0.3733503002
147	0.3731195364
148	0.3726394141
149	0.3722743763
150	0.372090871
151	0.3716584486
152	0.3713043548
153	0.370992724
154	0.3707998458
155	0.3704153268
156	0.370141459
157	0.3697049101
158	0.3694232316
159	0.3691295899
160	0.3688748108
161	0.3685669258
162	0.3685375694
163	0.3682047744
164	0.3676811893
165	0.3675214557
166	0.36726243
167	0.3670841068
168	0.3667798147
169	0.3667026612
170	0.3664448194
171	0.3659582539
172	0.3656349795
173	0.3654123371
174	0.3651901483
175	0.3650375373
176	0.3647952388
177	0.3647126516
178	0.3644387435
179	0.3641803268
180	0.3638884821
181	0.3636062873
182	0.3632825551
183	0.3629873341
184	0.3628664167
185	0.3625219202
186	0.3624486678
187	0.3624340459
188	0.3623524466
189	0.3620762602
190	0.3617973224
191	0.3614411263
192	0.3611553176
193	0.3611331668
194	0.3609069599
195	0.360788826
196	0.3607403353
197	0.3604989943
198	0.3603653413
199	0.3601401032
200	0.3598607716
201	0.3597648137
202	0.3595586278
203	0.3594262449
204	0.3592104248
205	0.3591682625
206	0.3587371171
207	0.3584685657
208	0.3580086831
209	0.3576907155
210	0.3575231819
211	0.3572751648
212	0.357158413
213	0.3569555759
214	0.3566391758
215	0.3563883913
216	0.3562702804
217	0.356008273
218	0.3559345932
219	0.3558037432
220	0.3555898843
221	0.355395276
222	0.3553331297
223	0.3551628348
224	0.3551523236
225	0.3550301703
226	0.3547780079
227	0.3545515927
228	0.3543327427
229	0.3539852048
230	0.3538581794
231	0.3536425571
232	0.3534107879
233	0.353240386
234	0.3528754003
235	0.3528457103
236	0.3527430716
237	0.3524939072
238	0.3522985581
239	0.3521045048
240	0.3519918197
241	0.3519634731
242	0.3519572066
243	0.3519554108
244	0.3519191371
245	0.3518933316
246	0.351792322
247	0.3516764187
248	0.3515419058
249	0.3512013206
250	0.3509431033
251	0.3506959046
252	0.3504849333
253	0.3502747179
254	0.3502260525
255	0.350096223
256	0.3498487772
257	0.3496639195
258	0.3496433343
259	0.3494578284
260	0.3492232451
261	0.3488547162
262	0.3485832025
263	0.3485319273
264	0.3482025958
265	0.3479777713
266	0.3479200892
267	0.3477926021
268	0.3476133386
269	0.3474539649
270	0.3473342499
271	0.3470869029
272	0.3468357779
273	0.3467555132
274	0.3466263414
275	0.3463493526
276	0.3461463159
277	0.3460148702
278	0.3457304199
279	0.3455765345
280	0.3453780612
281	0.3451547935
282	0.3451148109
283	0.3449741128
